embed_model,classifier,metric,value
qwen3-embedding-8B,logistic,accuracy,0.8513656607181787
qwen3-embedding-8B,logistic,precision_macro,0.8503529161191576
qwen3-embedding-8B,logistic,recall_macro,0.8520802590195695
qwen3-embedding-8B,logistic,f1_macro,0.8508464192815741
qwen3-embedding-8B,logistic,roc_auc,0.9273942416867554
qwen3-embedding-8B,mlp,accuracy,0.8841446323460712
qwen3-embedding-8B,mlp,precision_macro,0.8832204898712976
qwen3-embedding-8B,mlp,recall_macro,0.8838253774423992
qwen3-embedding-8B,mlp,f1_macro,0.8834980827228407
qwen3-embedding-8B,mlp,roc_auc,0.9537216829126575
qwen3-embedding-8B,linear_svm,accuracy,0.8614407175558255
qwen3-embedding-8B,linear_svm,precision_macro,0.8604700219676789
qwen3-embedding-8B,linear_svm,recall_macro,0.8623035671885795
qwen3-embedding-8B,linear_svm,f1_macro,0.8609736968233634
qwen3-embedding-8B,linear_svm,roc_auc,0.9350570194624293
qwen3-embedding-8B,rbf_svm,accuracy,0.8599925254601514
qwen3-embedding-8B,rbf_svm,precision_macro,0.8590859162327046
qwen3-embedding-8B,rbf_svm,recall_macro,0.8610173484323699
qwen3-embedding-8B,rbf_svm,f1_macro,0.8595548304706614
qwen3-embedding-8B,rbf_svm,roc_auc,0.9318213696689385
