embed_model,classifier,threshold,metric,value
qwen3-embedding-8B,logistic,0.7,accuracy,0.8231804167055966
qwen3-embedding-8B,logistic,0.7,precision_macro,0.8385651277945209
qwen3-embedding-8B,logistic,0.7,recall_macro,0.8317618350496778
qwen3-embedding-8B,logistic,0.7,f1_macro,0.8228790326029206
qwen3-embedding-8B,logistic,0.7,roc_auc,0.9273942416867557
qwen3-embedding-8B,mlp,0.7,accuracy,0.8709863278208602
qwen3-embedding-8B,mlp,0.7,precision_macro,0.8752944886345218
qwen3-embedding-8B,mlp,0.7,recall_macro,0.8760289242449912
qwen3-embedding-8B,mlp,0.7,f1_macro,0.8709806235894344
qwen3-embedding-8B,mlp,0.7,roc_auc,0.9537216829126574
qwen3-embedding-8B,linear_svm,0.7,accuracy,0.710532872403376
qwen3-embedding-8B,linear_svm,0.7,precision_macro,0.7988272606106835
qwen3-embedding-8B,linear_svm,0.7,recall_macro,0.7311827213118377
qwen3-embedding-8B,linear_svm,0.7,f1_macro,0.6983984479862243
qwen3-embedding-8B,linear_svm,0.7,roc_auc,0.9350570194624293
qwen3-embedding-8B,rbf_svm,0.7,accuracy,0.8450123018468342
qwen3-embedding-8B,rbf_svm,0.7,precision_macro,0.8516051140606704
qwen3-embedding-8B,rbf_svm,0.7,recall_macro,0.8508935756963419
qwen3-embedding-8B,rbf_svm,0.7,f1_macro,0.8450069601240626
qwen3-embedding-8B,rbf_svm,0.7,roc_auc,0.9318213696689384
