topic,orig_cosine,proj_cosine,orig_euclidean,proj_euclidean,euc_ratio,cos_sep_gain
Bomb Making,0.8196,0.2396,0.6006,1.2332,2.05,4.22
Email Hacking,0.7733,0.0799,0.6733,1.3565,2.01,4.06
Illegal Drugs,0.6937,0.1216,0.7827,1.3255,1.69,2.87
Financial Fraud,0.7159,-0.0818,0.7538,1.4709,1.95,3.81
Computer Virus,0.7292,0.0449,0.7359,1.3821,1.88,3.53
Poison,0.7213,0.1322,0.7465,1.3175,1.76,3.11
Weapons,0.6734,0.0484,0.8082,1.3796,1.71,2.91
Stalking,0.6337,0.0978,0.8559,1.3433,1.57,2.46
Bomb Making (CN),0.8156,0.2159,0.6074,1.2523,2.06,4.25
Account Hacking (CN),0.782,0.3798,0.6603,1.1138,1.69,2.85
Drugs (CN),0.6395,0.1887,0.8492,1.2738,1.5,2.25
Elder Fraud (CN),0.8616,0.5586,0.5261,0.9396,1.79,3.19
Cyber Attack (CN),0.7915,-0.0193,0.6458,1.4278,2.21,4.89
Identity Theft (CN),0.7842,0.8427,0.6569,0.5609,0.85,0.73
Poison (CN),0.741,0.4206,0.7198,1.0765,1.5,2.24
Self-Harm (CN),0.8148,0.3335,0.6086,1.1546,1.9,3.6
Violence (CN),0.6221,0.1333,0.8694,1.3166,1.51,2.29
Theft (CN),0.7149,0.0974,0.7551,1.3436,1.78,3.17
Hate Speech (CN),0.7532,0.0663,0.7025,1.3665,1.95,3.78
Arson (CN),0.817,0.2496,0.6049,1.2251,2.03,4.1
