benchmark,model,n_seeds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,auc_mean,auc_std,auc_ci_low,auc_ci_high,vs_deepsafe_p_value,is_comparable,test_type
100PoisonMpts,DeepSafe-v3,5,1.0000,0.0000,1.0,1.0,0.0000,0.0000,0.0,0.0,0.5000,0.0000,0.5,0.5,,,
100PoisonMpts,Beaver-Dam-7B,1,0.0221,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,Granite-Guardian-3.1-8B,1,0.8456,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,Llama-Guard-3-1B,1,0.9816,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.073638,comparable,McNemar
100PoisonMpts,Llama-Guard-3-8B,1,0.9706,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.013328,,McNemar
100PoisonMpts,Qwen3Guard-Gen-4B,1,0.8456,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,Qwen3Guard-Gen-8B,1,0.8382,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,ShieldGemma-2B,1,0.9926,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.4795,comparable,McNemar
100PoisonMpts,ShieldGemma-9B,1,0.8860,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,WildGuard,1,0.9596,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.002569,,McNemar
100PoisonMpts,Embedding+logistic-0.6B,1,0.6507,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,Embedding+logistic-8B,1,0.1765,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,Embedding+mlp-0.6B,1,0.6507,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,Embedding+mlp-8B,1,0.1765,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v3,1,0.7169,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v4,1,0.5000,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v5,1,0.5625,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v6,1,0.4853,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v7,1,0.6912,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v8,1,0.4890,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
100PoisonMpts,SafeCL-v9,1,0.4706,0.0000,,,0.0000,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
AegisAI-v1,DeepSafe-v3,5,0.8830,0.0038,0.8775,0.8885,0.8769,0.0038,0.8702,0.8833,0.9950,0.0005,0.9943,0.9956,,,
AegisAI-v1,Beaver-Dam-7B,1,0.3309,0.0000,,,0.2486,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
AegisAI-v1,Granite-Guardian-3.1-8B,1,0.8187,0.0000,,,0.8135,0.0000,,,0.9820,0.0000,,,0.0,,McNemar
AegisAI-v1,Llama-Guard-3-1B,1,0.7006,0.0000,,,0.6994,0.0000,,,0.9131,0.0000,,,0.0,,McNemar
AegisAI-v1,Llama-Guard-3-8B,1,0.7646,0.0000,,,0.7611,0.0000,,,0.9552,0.0000,,,0.0,,McNemar
AegisAI-v1,Qwen3Guard-Gen-4B,1,0.8585,0.0000,,,0.8523,0.0000,,,0.9917,0.0000,,,0.0,,McNemar
AegisAI-v1,Qwen3Guard-Gen-8B,1,0.8563,0.0000,,,0.8502,0.0000,,,0.9912,0.0000,,,0.0,,McNemar
AegisAI-v1,ShieldGemma-2B,1,0.6308,0.0000,,,0.6306,0.0000,,,0.8416,0.0000,,,0.0,,McNemar
AegisAI-v1,ShieldGemma-9B,1,0.7813,0.0000,,,0.7771,0.0000,,,0.9665,0.0000,,,0.0,,McNemar
AegisAI-v1,WildGuard,1,0.8548,0.0000,,,0.8487,0.0000,,,0.9909,0.0000,,,0.0,,McNemar
AegisAI-v2,DeepSafe-v3,5,0.9049,0.0042,0.9019,0.9077,0.9043,0.0042,0.9012,0.9073,0.9957,0.0007,0.9953,0.996,,,
AegisAI-v2,Beaver-Dam-7B,1,0.4141,0.0000,,,0.2928,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
AegisAI-v2,Granite-Guardian-3.1-8B,1,0.8571,0.0000,,,0.8569,0.0000,,,0.9855,0.0000,,,0.0,,McNemar
AegisAI-v2,Llama-Guard-3-1B,1,0.7769,0.0000,,,0.7768,0.0000,,,0.9425,0.0000,,,0.0,,McNemar
AegisAI-v2,Llama-Guard-3-8B,1,0.8199,0.0000,,,0.8199,0.0000,,,0.9685,0.0000,,,0.0,,McNemar
AegisAI-v2,Qwen3Guard-Gen-4B,1,0.8934,0.0000,,,0.8929,0.0000,,,0.9939,0.0000,,,0.0,,McNemar
AegisAI-v2,Qwen3Guard-Gen-8B,1,0.8930,0.0000,,,0.8925,0.0000,,,0.9938,0.0000,,,0.0,,McNemar
AegisAI-v2,ShieldGemma-2B,1,0.7100,0.0000,,,0.7086,0.0000,,,0.8805,0.0000,,,0.0,,McNemar
