benchmark,model,model_type,seed,threshold,accuracy,f1_macro,roc_auc,n_samples,accuracy_std,section
100PoisonMpts,Beaver-Dam-7B,sota,none,0.5000,0.0221,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,Beaver-Dam-7B,sota,none,0.5000,0.3309,0.2486,0.5000,3237.0000,0.0000,main_t05
AegisAI-v2,Beaver-Dam-7B,sota,none,0.5000,0.4141,0.2928,0.5000,10019.0000,0.0000,main_t05
BeaverTails,Beaver-Dam-7B,sota,none,0.5000,0.7383,0.7339,0.9014,3000.0000,0.0000,main_t05
DoNotAnswer,Beaver-Dam-7B,sota,none,0.5000,0.5302,0.3722,0.8845,281.0000,0.0000,main_t05
ToxicChat,Beaver-Dam-7B,sota,none,0.5000,0.6733,0.5433,0.9587,3049.0000,0.0000,main_t05
WildGuardMix,Beaver-Dam-7B,sota,none,0.5000,0.8336,0.8323,0.9682,26028.0000,0.0000,main_t05
XGuard,Beaver-Dam-7B,sota,none,0.5000,0.4100,0.2908,0.5000,3000.0000,0.0000,main_t05
XSTest,Beaver-Dam-7B,sota,none,0.5000,0.8519,0.8447,0.9799,135.0000,0.0000,main_t05
100PoisonMpts,Granite-Guardian-3.1-8B,sota,none,0.5000,0.8456,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,Granite-Guardian-3.1-8B,sota,none,0.5000,0.8187,0.8135,0.9820,3237.0000,0.0000,main_t05
AegisAI-v2,Granite-Guardian-3.1-8B,sota,none,0.5000,0.8571,0.8569,0.9855,10019.0000,0.0000,main_t05
BeaverTails,Granite-Guardian-3.1-8B,sota,none,0.5000,0.7210,0.7156,0.8880,3000.0000,0.0000,main_t05
DoNotAnswer,Granite-Guardian-3.1-8B,sota,none,0.5000,0.5730,0.3930,0.9188,281.0000,0.0000,main_t05
ToxicChat,Granite-Guardian-3.1-8B,sota,none,0.5000,0.9426,0.8370,0.9941,3049.0000,0.0000,main_t05
WildGuardMix,Granite-Guardian-3.1-8B,sota,none,0.5000,0.8735,0.8731,0.9865,26028.0000,0.0000,main_t05
XGuard,Granite-Guardian-3.1-8B,sota,none,0.5000,0.7540,0.7535,0.9346,3000.0000,0.0000,main_t05
XSTest,Granite-Guardian-3.1-8B,sota,none,0.5000,0.8963,0.8962,0.9951,135.0000,0.0000,main_t05
100PoisonMpts,Llama-Guard-3-1B,sota,none,0.5000,0.9816,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,Llama-Guard-3-1B,sota,none,0.5000,0.7006,0.6994,0.9131,3237.0000,0.0000,main_t05
AegisAI-v2,Llama-Guard-3-1B,sota,none,0.5000,0.7769,0.7768,0.9425,10019.0000,0.0000,main_t05
BeaverTails,Llama-Guard-3-1B,sota,none,0.5000,0.6983,0.6919,0.8607,3000.0000,0.0000,main_t05
DoNotAnswer,Llama-Guard-3-1B,sota,none,0.5000,0.6050,0.4083,0.8736,281.0000,0.0000,main_t05
ToxicChat,Llama-Guard-3-1B,sota,none,0.5000,0.8426,0.6872,0.9679,3049.0000,0.0000,main_t05
WildGuardMix,Llama-Guard-3-1B,sota,none,0.5000,0.8628,0.8622,0.9828,26028.0000,0.0000,main_t05
XGuard,Llama-Guard-3-1B,sota,none,0.5000,0.7220,0.7210,0.9004,3000.0000,0.0000,main_t05
XSTest,Llama-Guard-3-1B,sota,none,0.5000,0.8963,0.8932,0.9940,135.0000,0.0000,main_t05
100PoisonMpts,Llama-Guard-3-8B,sota,none,0.5000,0.9706,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,Llama-Guard-3-8B,sota,none,0.5000,0.7646,0.7611,0.9552,3237.0000,0.0000,main_t05
AegisAI-v2,Llama-Guard-3-8B,sota,none,0.5000,0.8199,0.8199,0.9685,10019.0000,0.0000,main_t05
BeaverTails,Llama-Guard-3-8B,sota,none,0.5000,0.7157,0.7099,0.8814,3000.0000,0.0000,main_t05
DoNotAnswer,Llama-Guard-3-8B,sota,none,0.5000,0.5338,0.3678,0.7076,281.0000,0.0000,main_t05
ToxicChat,Llama-Guard-3-8B,sota,none,0.5000,0.9285,0.7973,0.9677,3049.0000,0.0000,main_t05
WildGuardMix,Llama-Guard-3-8B,sota,none,0.5000,0.8829,0.8826,0.9893,26028.0000,0.0000,main_t05
XGuard,Llama-Guard-3-8B,sota,none,0.5000,0.7700,0.7698,0.9470,3000.0000,0.0000,main_t05
XSTest,Llama-Guard-3-8B,sota,none,0.5000,0.8963,0.8962,0.9951,135.0000,0.0000,main_t05
100PoisonMpts,Qwen3Guard-Gen-4B,sota,none,0.5000,0.8456,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,Qwen3Guard-Gen-4B,sota,none,0.5000,0.8585,0.8523,0.9917,3237.0000,0.0000,main_t05
AegisAI-v2,Qwen3Guard-Gen-4B,sota,none,0.5000,0.8934,0.8929,0.9939,10019.0000,0.0000,main_t05
BeaverTails,Qwen3Guard-Gen-4B,sota,none,0.5000,0.7703,0.7674,0.9357,3000.0000,0.0000,main_t05
DoNotAnswer,Qwen3Guard-Gen-4B,sota,none,0.5000,0.5658,0.3896,0.9106,281.0000,0.0000,main_t05
ToxicChat,Qwen3Guard-Gen-4B,sota,none,0.5000,0.9219,0.8020,0.9987,3049.0000,0.0000,main_t05
WildGuardMix,Qwen3Guard-Gen-4B,sota,none,0.5000,0.9695,0.9692,0.9983,26028.0000,0.0000,main_t05
XGuard,Qwen3Guard-Gen-4B,sota,none,0.5000,0.8240,0.8240,0.9779,3000.0000,0.0000,main_t05
XSTest,Qwen3Guard-Gen-4B,sota,none,0.5000,0.9259,0.9259,0.9978,135.0000,0.0000,main_t05
100PoisonMpts,Qwen3Guard-Gen-8B,sota,none,0.5000,0.8382,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,Qwen3Guard-Gen-8B,sota,none,0.5000,0.8563,0.8502,0.9912,3237.0000,0.0000,main_t05
AegisAI-v2,Qwen3Guard-Gen-8B,sota,none,0.5000,0.8930,0.8925,0.9938,10019.0000,0.0000,main_t05
BeaverTails,Qwen3Guard-Gen-8B,sota,none,0.5000,0.7690,0.7660,0.9345,3000.0000,0.0000,main_t05
DoNotAnswer,Qwen3Guard-Gen-8B,sota,none,0.5000,0.6299,0.4202,0.9738,281.0000,0.0000,main_t05
ToxicChat,Qwen3Guard-Gen-8B,sota,none,0.5000,0.9246,0.8067,0.9988,3049.0000,0.0000,main_t05
WildGuardMix,Qwen3Guard-Gen-8B,sota,none,0.5000,0.9697,0.9695,0.9983,26028.0000,0.0000,main_t05
XGuard,Qwen3Guard-Gen-8B,sota,none,0.5000,0.8287,0.8286,0.9797,3000.0000,0.0000,main_t05
XSTest,Qwen3Guard-Gen-8B,sota,none,0.5000,0.9333,0.9333,0.9982,135.0000,0.0000,main_t05
100PoisonMpts,ShieldGemma-2B,sota,none,0.5000,0.9926,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,ShieldGemma-2B,sota,none,0.5000,0.6308,0.6306,0.8416,3237.0000,0.0000,main_t05
AegisAI-v2,ShieldGemma-2B,sota,none,0.5000,0.7100,0.7086,0.8805,10019.0000,0.0000,main_t05
BeaverTails,ShieldGemma-2B,sota,none,0.5000,0.6330,0.6221,0.7660,3000.0000,0.0000,main_t05
DoNotAnswer,ShieldGemma-2B,sota,none,0.5000,0.8577,0.5068,0.7816,281.0000,0.0000,main_t05
ToxicChat,ShieldGemma-2B,sota,none,0.5000,0.7750,0.5320,0.6418,3049.0000,0.0000,main_t05
WildGuardMix,ShieldGemma-2B,sota,none,0.5000,0.6050,0.5911,0.6956,26028.0000,0.0000,main_t05
XGuard,ShieldGemma-2B,sota,none,0.5000,0.6177,0.6129,0.7724,3000.0000,0.0000,main_t05
XSTest,ShieldGemma-2B,sota,none,0.5000,0.8519,0.8447,0.9817,135.0000,0.0000,main_t05
100PoisonMpts,ShieldGemma-9B,sota,none,0.5000,0.8860,0.0000,0.5000,272.0000,0.0000,main_t05
AegisAI-v1,ShieldGemma-9B,sota,none,0.5000,0.7813,0.7771,0.9665,3237.0000,0.0000,main_t05
AegisAI-v2,ShieldGemma-9B,sota,none,0.5000,0.8291,0.8291,0.9740,10019.0000,0.0000,main_t05
BeaverTails,ShieldGemma-9B,sota,none,0.5000,0.6447,0.6348,0.7826,3000.0000,0.0000,main_t05
DoNotAnswer,ShieldGemma-9B,sota,none,0.5000,0.5907,0.4015,0.9621,281.0000,0.0000,main_t05
ToxicChat,ShieldGemma-9B,sota,none,0.5000,0.9652,0.8862,0.9871,3049.0000,0.0000,main_t05
WildGuardMix,ShieldGemma-9B,sota,none,0.5000,0.8087,0.8065,0.9518,26028.0000,0.0000,main_t05
