model,benchmark,accuracy,f1_macro,roc_auc
Qwen3Guard-Gen-4B,WildGuardMix,0.9765,0.9762,0.9883
Qwen3Guard-Gen-4B,100PoisonMpts,0.8333,0.0,0.5
Qwen3Guard-Gen-4B,XSTest,0.9022,0.902,0.961
Qwen3Guard-Gen-8B,WildGuardMix,0.9745,0.9742,0.9862
Qwen3Guard-Gen-8B,100PoisonMpts,0.8234,0.0,0.5
Qwen3Guard-Gen-8B,XSTest,0.9133,0.9131,0.9655
Llama-Guard-3-8B,WildGuardMix,0.8345,0.8345,0.8446
Llama-Guard-3-8B,100PoisonMpts,0.9746,0.0,0.5
Llama-Guard-3-8B,XSTest,0.8933,0.8905,0.8865
Llama-Guard-3-1B,WildGuardMix,0.817,0.817,0.8255
Llama-Guard-3-1B,100PoisonMpts,0.9779,0.0,0.5
Llama-Guard-3-1B,XSTest,0.84,0.8342,0.8295
ShieldGemma-9B,WildGuardMix,0.6885,0.6791,0.7134
ShieldGemma-9B,100PoisonMpts,0.8808,0.0,0.5
ShieldGemma-9B,XSTest,0.8311,0.8305,0.8345
ShieldGemma-2B,WildGuardMix,0.5095,0.428,0.5538
ShieldGemma-2B,100PoisonMpts,0.9923,0.0,0.5
ShieldGemma-2B,XSTest,0.78,0.7668,0.763
WildGuard,WildGuardMix,0.9995,0.9995,0.9995
WildGuard,100PoisonMpts,0.957,0.0,0.5
WildGuard,XSTest,0.9511,0.95,0.9465
Granite-Guardian-3.1-8B,WildGuardMix,0.852,0.845,0.8391
Granite-Guardian-3.1-8B,100PoisonMpts,0.8565,0.0,0.5
Granite-Guardian-3.1-8B,XSTest,0.8511,0.8511,0.864
Beaver-Dam-7B,WildGuardMix,0.6945,0.6848,0.7636
Beaver-Dam-7B,100PoisonMpts,0.0353,0.0,0.5
Beaver-Dam-7B,XSTest,0.6533,0.6508,0.7231
SafeCL-v3,WildGuardMix,0.646,0.6449,0.708
SafeCL-v3,100PoisonMpts,0.7163,0.0,0.5
SafeCL-v3,XSTest,0.5889,0.5771,0.7021
SafeCL-v4,WildGuardMix,0.7585,0.7559,0.8347
SafeCL-v4,100PoisonMpts,0.5011,0.0,0.5
SafeCL-v4,XSTest,0.6956,0.6909,0.8375
SafeCL-v5,WildGuardMix,0.7595,0.7588,0.8392
SafeCL-v5,100PoisonMpts,0.5629,0.0,0.5
SafeCL-v5,XSTest,0.7156,0.7145,0.8259
SafeCL-v6,WildGuardMix,0.755,0.7546,0.8375
SafeCL-v6,100PoisonMpts,0.4857,0.0,0.5
SafeCL-v6,XSTest,0.7133,0.7129,0.8271
SafeCL-v7,WildGuardMix,0.644,0.644,0.7108
SafeCL-v7,100PoisonMpts,0.6909,0.0,0.5
SafeCL-v7,XSTest,0.5622,0.5622,0.6157
SafeCL-v8,WildGuardMix,0.76,0.7588,0.8351
SafeCL-v8,100PoisonMpts,0.4901,0.0,0.5
SafeCL-v8,XSTest,0.7156,0.7123,0.8508
SafeCL-v9,WildGuardMix,0.7605,0.7592,0.8286
SafeCL-v9,100PoisonMpts,0.4724,0.0,0.5
SafeCL-v9,XSTest,0.7089,0.7059,0.8368
Embedding+logistic-0.6B,WildGuardMix,0.688,0.6875,0.7768
Embedding+logistic-0.6B,100PoisonMpts,0.649,0.0,0.5
Embedding+logistic-0.6B,XSTest,0.66,0.6595,0.7621
Embedding+mlp-0.6B,WildGuardMix,0.688,0.6875,0.7768
Embedding+mlp-0.6B,100PoisonMpts,0.649,0.0,0.5
Embedding+mlp-0.6B,XSTest,0.66,0.6595,0.7621
Embedding+logistic-8B,WildGuardMix,0.7565,0.7547,0.8735
Embedding+logistic-8B,100PoisonMpts,0.1755,0.0,0.5
Embedding+logistic-8B,XSTest,0.6867,0.6614,0.7439
Embedding+mlp-8B,WildGuardMix,0.7565,0.7547,0.8735
Embedding+mlp-8B,100PoisonMpts,0.1755,0.0,0.5
Embedding+mlp-8B,XSTest,0.6867,0.6614,0.7439
